Start,Stop,Year,Month,Temperature,Quality
1967-01-01 00:00:01,1967-02-01 00:00:00,1967,01,-1.8,Y
1967-02-01 00:00:01,1967-03-01 00:00:00,1967,02,1.3,Y
1967-03-01 00:00:01,1967-04-01 00:00:00,1967,03,4.9,Y
1967-04-01 00:00:01,1967-05-01 00:00:00,1967,04,5.8,Y
1967-05-01 00:00:01,1967-06-01 00:00:00,1967,05,11.4,Y
1967-06-01 00:00:01,1967-07-01 00:00:00,1967,06,14.6,Y
1967-07-01 00:00:01,1967-08-01 00:00:00,1967,07,16.8,Y
1967-08-01 00:00:01,1967-09-01 00:00:00,1967,08,16.8,Y
1967-09-01 00:00:01,1967-10-01 00:00:00,1967,09,14.4,Y
1967-10-01 00:00:01,1967-11-01 00:00:00,1967,10,10.8,Y
1967-11-01 00:00:01,1967-12-01 00:00:00,1967,11,6.4,Y
1967-12-01 00:00:01,1968-01-01 00:00:00,1967,12,-0.0,Y
1968-01-01 00:00:01,1968-02-01 00:00:00,1968,01,-2.3,Y
1968-02-01 00:00:01,1968-03-01 00:00:00,1968,02,-1.1,Y
1968-03-01 00:00:01,1968-04-01 00:00:00,1968,03,3.2,Y
1968-04-01 00:00:01,1968-05-01 00:00:00,1968,04,8.1,Y
1968-05-01 00:00:01,1968-06-01 00:00:00,1968,05,9.9,Y
1968-06-01 00:00:01,1968-07-01 00:00:00,1968,06,17.2,Y
1968-07-01 00:00:01,1968-08-01 00:00:00,1968,07,16.6,Y
1968-08-01 00:00:01,1968-09-01 00:00:00,1968,08,17.8,Y
1968-09-01 00:00:01,1968-10-01 00:00:00,1968,09,14.2,Y
1968-10-01 00:00:01,1968-11-01 00:00:00,1968,10,8.8,Y
1968-11-01 00:00:01,1968-12-01 00:00:00,1968,11,2.8,Y
1968-12-01 00:00:01,1969-01-01 00:00:00,1968,12,0.3,Y
1969-01-01 00:00:01,1969-02-01 00:00:00,1969,01,-0.5,Y
1969-02-01 00:00:01,1969-03-01 00:00:00,1969,02,-3.8,Y
1969-03-01 00:00:01,1969-04-01 00:00:00,1969,03,-0.4,Y
1969-04-01 00:00:01,1969-05-01 00:00:00,1969,04,5.8,Y
1969-07-01 00:00:01,1969-08-01 00:00:00,1969,07,17.1,Y
1969-08-01 00:00:01,1969-09-01 00:00:00,1969,08,17.8,Y
1969-09-01 00:00:01,1969-10-01 00:00:00,1969,09,14.0,Y
1969-10-01 00:00:01,1969-11-01 00:00:00,1969,10,9.3,Y
1969-11-01 00:00:01,1969-12-01 00:00:00,1969,11,3.4,Y
1969-12-01 00:00:01,1970-01-01 00:00:00,1969,12,-2.6,Y
1970-01-01 00:00:01,1970-02-01 00:00:00,1970,01,-4.9,Y
1970-02-01 00:00:01,1970-03-01 00:00:00,1970,02,-6.9,Y
1970-03-01 00:00:01,1970-04-01 00:00:00,1970,03,-0.4,Y
1970-04-01 00:00:01,1970-05-01 00:00:00,1970,04,2.8,Y
1970-05-01 00:00:01,1970-06-01 00:00:00,1970,05,11.1,Y
1970-06-01 00:00:01,1970-07-01 00:00:00,1970,06,17.1,Y
1970-07-01 00:00:01,1970-08-01 00:00:00,1970,07,15.0,Y
1970-08-01 00:00:01,1970-09-01 00:00:00,1970,08,15.8,Y
1970-09-01 00:00:01,1970-10-01 00:00:00,1970,09,11.4,Y
1970-10-01 00:00:01,1970-11-01 00:00:00,1970,10,8.4,Y
1970-11-01 00:00:01,1970-12-01 00:00:00,1970,11,2.9,Y
1970-12-01 00:00:01,1971-01-01 00:00:00,1970,12,0.6,Y
1971-01-01 00:00:01,1971-02-01 00:00:00,1971,01,-0.2,Y
1971-02-01 00:00:01,1971-03-01 00:00:00,1971,02,0.8,Y
1971-03-01 00:00:01,1971-04-01 00:00:00,1971,03,-0.3,Y
